brand,model,sporty_score,luxury_score,offroad_score,economy_score,ev_score,item_id
Audi,5000 S Quattro,0.14,0.73,0.77,0.64,0.83,Audi_5000SQuattro
Audi,5000S,0.3,0.49,0.53,0.89,0.96,Audi_5000S
Audi,5000S Wagon,0.39,0.76,0.05,0.88,0.13,Audi_5000SWagon
Audi,80,0.36,0.13,0.92,0.29,0.28,Audi_80
Audi,80 Quattro,0.93,0.17,0.34,0.43,0.15,Audi_80Quattro
Audi,80/90,0.97,0.44,0.16,0.0,0.26,Audi_80/90
Audi,80/90 Quattro,0.93,0.61,0.17,0.86,0.11,Audi_80/90Quattro
Audi,90,0.38,0.47,0.97,0.44,0.14,Audi_90
Audi,90 Quattro,0.65,0.79,0.28,0.45,0.79,Audi_90Quattro
Audi,90 Quattro 20V,0.07,0.19,0.29,0.07,0.62,Audi_90Quattro20V
Audi,A3,0.44,0.36,0.24,0.01,0.4000000000000001,Audi_A3
Audi,A3 Cabriolet,0.58,0.03,0.91,0.8,0.53,Audi_A3Cabriolet
Audi,A3 Cabriolet Quattro,0.27,0.64,0.09,0.98,0.35,Audi_A3CabrioletQuattro
Audi,A3 E-Tron,0.25,0.02,0.73,0.66,0.4000000000000001,Audi_A3E-Tron
Audi,A3 E-Tron Ultra,0.27,0.94,0.94,0.46,0.66,Audi_A3E-TronUltra
Audi,A3 Quattro,0.67,0.3899999999999999,0.5,0.82,0.81,Audi_A3Quattro
Audi,A4,0.7118650793650794,0.3382142857142857,0.349047619047619,0.5396825396825397,0.4701587301587301,Audi_A4
Audi,A5 Cabriolet,0.37,0.7,0.53,0.91,0.17,Audi_A5Cabriolet
Audi,A5 Cabriolet Quattro,0.45,0.71,0.6,0.65,0.3899999999999999,Audi_A5CabrioletQuattro
Audi,A5 Coupe Quattro,0.76,0.37,0.56,0.63,0.37,Audi_A5CoupeQuattro
Audi,A5 Quattro,0.72,0.23,0.05,0.57,0.1,Audi_A5Quattro
Audi,A5 Sportback Quattro,0.13,0.68,0.17,0.44,0.29,Audi_A5SportbackQuattro
Audi,A5 Sportback S Line Quattro,0.6,0.6,0.38,0.12,0.59,Audi_A5SportbackSLineQuattro
Audi,A5 Sportback S-Line Quattro,0.79,0.56,0.61,0.04,0.63,Audi_A5SportbackS-LineQuattro
Audi,A6,0.5478260869565218,0.811768115942029,0.6876618357487922,0.8054975845410627,0.751072463768116,Audi_A6
Audi,A7,0.12,0.44,0.85,0.93,0.33,Audi_A7
Audi,A7 Quattro,0.63,0.84,0.85,0.59,0.16,Audi_A7Quattro
Audi,A7 Tfsi E Quattro,0.89,0.39,0.93,0.5,0.22,Audi_A7TfsiEQuattro
Audi,A8,0.68,0.21,0.67,0.69,0.55,Audi_A8
Audi,A8 L,0.7200000000000001,0.3899999999999999,0.57,0.73,0.59,Audi_A8L
Audi,A8 L Quattro,0.03,0.85,0.4,0.1,0.34,Audi_A8LQuattro
Audi,A8 Quattro,0.45,0.41,0.51,0.76,0.74,Audi_A8Quattro
Audi,Allroad,0.71,0.17,0.71,0.65,0.94,Audi_Allroad
Audi,Allroad Quattro,0.374,0.5599999999999999,0.1769999999999999,0.4309999999999999,0.754,Audi_AllroadQuattro
Audi,Cabriolet,0.3699999999999999,0.56,0.23,0.14,0.04,Audi_Cabriolet
Audi,Coupe Gt,1.0,0.8099999999999999,0.89,0.43,0.38,Audi_CoupeGt
Audi,Coupe Quattro,0.75,0.21,0.69,0.39,0.2,Audi_CoupeQuattro
Audi,E-Tron,0.35,0.17,0.61,0.61,0.38,Audi_E-Tron
Audi,E-Tron Gt,0.49,0.91,0.23,0.32,0.93,Audi_E-TronGt
Audi,E-Tron Quattro,0.09,0.37,0.75,0.47,0.23,Audi_E-TronQuattro
Audi,E-Tron S (20 Inch Wheels),0.01,0.32,0.72,0.58,0.46,Audi_E-TronS(20InchWheels)
Audi,E-Tron S (20In Wheels),0.88,0.67,0.88,0.95,0.47,Audi_E-TronS(20InWheels)
Audi,E-Tron S (21/22 Inch Wheels),0.23,0.13,0.23,0.24,0.46,Audi_E-TronS(21/22InchWheels)
Audi,E-Tron S Sportback (20 Inch Wheels),0.42,0.93,0.55,0.04,0.64,Audi_E-TronSSportback(20InchWheels)
Audi,E-Tron S Sportback (21/22 Inch Wheels),0.11,0.6,0.0,0.9,0.17,Audi_E-TronSSportback(21/22InchWheels)
Audi,E-Tron Sportback,0.66,0.9,0.5,0.77,0.17,Audi_E-TronSportback
Audi,E-Tron Sportback Quattro,0.39,0.58,0.45,0.42,0.34,Audi_E-TronSportbackQuattro
Audi,Q3,0.43,0.63,0.48,0.09,0.43,Audi_Q3
Audi,Q3 Quattro,0.24,0.5,0.12,0.13,0.48,Audi_Q3Quattro
Audi,Q3 S Line Quattro,0.56,0.78,0.09,0.74,0.04,Audi_Q3SLineQuattro
Audi,Q3 S-Line,0.62,0.11,0.71,0.16,0.83,Audi_Q3S-Line
Audi,Q3 S-Line Quattro,0.78,0.44,0.64,0.18,0.14,Audi_Q3S-LineQuattro
Audi,Q4 40 E-Tron,0.94,0.7,0.36,0.51,0.61,Audi_Q440E-Tron
Audi,Q4 50 E-Tron Quattro,0.37,0.89,0.36,0.58,0.9,Audi_Q450E-TronQuattro
Audi,Q4 55 E-Tron Quattro,0.81,0.83,0.4,0.26,0.15,Audi_Q455E-TronQuattro
Audi,Q4 E-Tron,0.83,0.11,0.57,0.54,0.98,Audi_Q4E-Tron
Audi,Q4 E-Tron Quattro,0.52,0.61,0.31,0.8,0.21,Audi_Q4E-TronQuattro
Audi,Q4 E-Tron Sportback,0.05,0.62,0.22,0.92,0.38,Audi_Q4E-TronSportback
Audi,Q4 E-Tron Sportback Quattro,0.0,0.62,0.26,0.5,0.37,Audi_Q4E-TronSportbackQuattro
Audi,Q4 Sportback 50 E-Tron Quattro,0.2,0.32,0.21,0.42,0.76,Audi_Q4Sportback50E-TronQuattro
Audi,Q4 Sportback 55 E-Tron Quattro,0.32,0.32,0.54,0.09,0.48,Audi_Q4Sportback55E-TronQuattro
Audi,Q5,0.01,0.17,0.04,0.03,0.22,Audi_Q5
Audi,Q5 Hybrid,0.34,0.93,0.61,0.95,0.99,Audi_Q5Hybrid
Audi,Q5 Quattro,0.32,0.71,0.36,0.21,0.87,Audi_Q5Quattro
Audi,Q5 S Line Quattro,0.28,0.54,0.01,0.07,0.83,Audi_Q5SLineQuattro
Audi,Q5 S-Line Quattro,0.89,0.38,0.52,0.94,0.93,Audi_Q5S-LineQuattro
Audi,Q5 Sportback,0.17,0.54,0.22,0.51,0.6,Audi_Q5Sportback
Audi,Q5 Sportback S Line Quattro,0.08,0.35,0.65,0.67,0.77,Audi_Q5SportbackSLineQuattro
Audi,Q5 Sportback S-Line Quattro,0.22,0.22,0.2,0.72,0.81,Audi_Q5SportbackS-LineQuattro
Audi,Q5 Tfsi E Quattro,0.04,0.62,0.84,0.85,0.89,Audi_Q5TfsiEQuattro
Audi,Q7,0.93,0.47,0.1,0.18,0.33,Audi_Q7
Audi,Q7 Quattro,0.92,0.69,0.3,0.77,0.26,Audi_Q7Quattro
Audi,Q8,0.47,0.21,0.73,0.52,0.91,Audi_Q8
Audi,Q8 E-Tron Quattro,0.48,0.95,0.23,0.69,0.52,Audi_Q8E-TronQuattro
Audi,Q8 Quattro,0.16,0.97,0.17,0.13,0.28,Audi_Q8Quattro
Audi,Q8 Sportback E-Tron Quattro,0.69,0.79,0.03,0.92,0.29,Audi_Q8SportbackE-TronQuattro
Audi,Q8 Sportback E-Tron Ultra Quattro,0.37,0.51,0.98,0.61,0.16,Audi_Q8SportbackE-TronUltraQuattro
Audi,Quattro,0.75,0.03,0.75,0.14,0.25,Audi_Quattro
Audi,R8,0.11,0.31,0.45,0.77,0.97,Audi_R8
Audi,R8 2Wd,0.05,0.56,0.89,0.53,0.63,Audi_R82Wd
Audi,R8 Awd,0.18,0.73,0.33,0.47,0.28,Audi_R8Awd
Audi,R8 Coupe,0.04,0.41,0.62,0.52,0.66,Audi_R8Coupe
Audi,R8 Coupe Quattro,0.13,0.3,0.09,0.08,0.03,Audi_R8CoupeQuattro
Audi,R8 Coupe Rwd,0.96,0.14,0.34,0.17,0.01,Audi_R8CoupeRwd
Audi,R8 Gt Rwd,0.73,0.6,0.51,0.27,0.6,Audi_R8GtRwd
Audi,R8 Rwd,0.16,0.87,0.44,0.8,0.82,Audi_R8Rwd
Audi,R8 Spyder,0.21,0.55,0.79,0.42,0.97,Audi_R8Spyder
Audi,R8 Spyder 2Wd,0.28,0.77,0.1,0.18,0.49,Audi_R8Spyder2Wd
Audi,R8 Spyder Awd,0.38,0.03,0.44,0.62,0.76,Audi_R8SpyderAwd
Audi,R8 Spyder Quattro,0.84,0.64,0.9,0.4,0.63,Audi_R8SpyderQuattro
Audi,R8 Spyder Rwd,0.05,0.55,0.69,0.41,0.47,Audi_R8SpyderRwd
Audi,Rs 3,0.44,0.33,0.51,1.0,0.32,Audi_Rs3
Audi,Rs 5,0.65,0.68,0.52,0.76,0.96,Audi_Rs5
Audi,Rs 5 Cabriolet,0.94,0.56,0.76,0.49,0.58,Audi_Rs5Cabriolet
Audi,Rs 5 Coupe,0.3,0.9,0.28,0.47,0.83,Audi_Rs5Coupe
Audi,Rs 5 Sportback,0.87,0.51,0.04,0.85,0.31,Audi_Rs5Sportback
Audi,Rs 6 Avant,0.31,0.75,0.26,0.4000000000000001,0.08,Audi_Rs6Avant
Audi,Rs 7,0.37,0.34,0.05,0.34,0.61,Audi_Rs7
Audi,Rs E-Tron Gt,0.82,0.03,0.26,0.71,0.44,Audi_RsE-TronGt
Audi,Rs Q8,0.15,0.99,0.92,0.16,0.82,Audi_RsQ8
Audi,Rs3,0.63,0.02,0.51,0.29,0.74,Audi_Rs3
Audi,Rs4,0.92,0.44,0.66,0.19,0.06,Audi_Rs4
Audi,Rs4 Cabriolet,0.12,0.59,0.91,0.84,0.94,Audi_Rs4Cabriolet
Audi,Rs6,0.31,0.82,0.98,0.63,0.23,Audi_Rs6
Audi,S3,0.9,0.41,0.69,0.47,0.38,Audi_S3
Audi,S4,0.8299999999999998,0.68,0.96,0.22,0.7,Audi_S4
Audi,S4 Avant,0.55,0.92,0.82,0.11,0.68,Audi_S4Avant
Audi,S4 Cabriolet,0.29,0.42,0.96,0.6,0.8299999999999998,Audi_S4Cabriolet
Audi,S5,0.21,0.1,0.28,0.84,0.46,Audi_S5
Audi,S5 Cabriolet,0.63,0.46,0.49,0.59,0.58,Audi_S5Cabriolet
Audi,S5 Coupe,0.61,0.28,0.09,0.72,0.52,Audi_S5Coupe
Audi,S5 Sportback,0.13,0.92,0.63,0.68,0.8000000000000002,Audi_S5Sportback
Audi,S6,0.97,0.51,0.44,0.54,0.9399999999999998,Audi_S6
Audi,S6 Avant,0.29,0.12,0.45,0.52,0.64,Audi_S6Avant
Audi,S6 Wagon,0.67,0.61,0.7,0.77,0.22,Audi_S6Wagon
Audi,S7,0.68,0.15,0.6,0.15,0.16,Audi_S7
Audi,S8,0.52,0.7900000000000001,0.45,0.01,0.46,Audi_S8
Audi,S8 Quattro,0.42,0.03,0.69,0.94,0.15,Audi_S8Quattro
Audi,Sq5,0.36,0.91,0.75,0.6,0.01,Audi_Sq5
Audi,Sq5 Sportback,0.31,0.5,0.97,0.04,0.48,Audi_Sq5Sportback
Audi,Sq7,0.34,0.86,0.17,0.92,0.63,Audi_Sq7
Audi,Sq8,0.24,0.21,0.64,0.33,0.51,Audi_Sq8
Audi,Sq8 E-Tron (20 Inch Wheels),0.73,0.01,0.76,0.84,0.67,Audi_Sq8E-Tron(20InchWheels)
Audi,Sq8 E-Tron (21/22 Inch Wheels),0.44,0.01,0.06,0.96,0.72,Audi_Sq8E-Tron(21/22InchWheels)
Audi,Sq8 Sportback E-Tron (20 Inch Wheels),0.28,0.51,0.03,0.32,0.15,Audi_Sq8SportbackE-Tron(20InchWheels)
Audi,Sq8 Sportback E-Tron (21/22 Inch Wheels),0.47,0.68,0.04,0.89,0.38,Audi_Sq8SportbackE-Tron(21/22InchWheels)
Audi,Tt Coupe,0.59,0.07,0.53,0.4,0.97,Audi_TtCoupe
Audi,Tt Coupe Quattro,0.33,0.91,0.72,0.31,0.22,Audi_TtCoupeQuattro
Audi,Tt Roadster,0.31,0.8299999999999998,0.49,0.6,0.0,Audi_TtRoadster
Audi,Tt Roadster Quattro,0.62,0.66,0.96,0.93,0.15,Audi_TtRoadsterQuattro
Audi,Tt Rs,0.49,0.89,0.58,0.63,0.75,Audi_TtRs
Audi,Tt Rs Coupe,0.85,0.57,0.56,0.58,0.35,Audi_TtRsCoupe
Audi,Tts Coupe,0.99,0.81,0.29,0.18,0.16,Audi_TtsCoupe
Audi,Tts Coupe Quattro,0.82,0.83,0.95,0.88,0.18,Audi_TtsCoupeQuattro
Audi,V8,0.05,0.93,0.46,0.15,0.4,Audi_V8
BMW,128Ci Convertible,0.23,0.8400000000000001,0.62,0.64,0.03,BMW_128CiConvertible
BMW,128I,0.35,0.74,0.55,0.4,0.89,BMW_128I
BMW,128I Convertible,0.44,0.96,0.81,0.17,0.36,BMW_128IConvertible
BMW,135I,1.0,0.09,0.54,0.1,0.62,BMW_135I
BMW,135I Convertible,0.52,0.6999999999999998,0.57,0.99,0.86,BMW_135IConvertible
BMW,228I,0.64,0.53,0.61,0.87,0.67,BMW_228I
BMW,228I Convertible,0.29,0.98,0.71,0.61,0.99,BMW_228IConvertible
BMW,228I Gran Coupe,0.11,0.11,0.88,0.2,0.34,BMW_228IGranCoupe
BMW,228I Xdrive,0.8,0.57,0.52,0.66,0.83,BMW_228IXdrive
BMW,228I Xdrive Convertible,0.25,0.92,0.43,0.63,0.34,BMW_228IXdriveConvertible
BMW,228I Xdrive Gran Coupe,0.16,0.44,0.75,0.47,0.77,BMW_228IXdriveGranCoupe
BMW,230I Convertible,0.03,0.29,0.67,0.92,0.18,BMW_230IConvertible
BMW,230I Coupe,0.42,0.01,0.9499999999999998,0.51,0.61,BMW_230ICoupe
BMW,230I Xdrive Convertible,0.0,0.78,0.22,0.81,0.56,BMW_230IXdriveConvertible
BMW,230I Xdrive Coupe,0.97,0.85,0.93,0.9399999999999998,0.65,BMW_230IXdriveCoupe
BMW,3 Series,0.4101060804899387,0.5414945319335084,0.5613792650918635,0.608754593175853,0.4924573490813648,BMW_3Series
BMW,323Ci,0.98,0.83,0.77,0.55,0.21,BMW_323Ci
BMW,323I,0.32,0.69,0.74,0.03,0.16,BMW_323I
BMW,323I Convertible,0.56,0.64,0.26,0.09,0.71,BMW_323IConvertible
BMW,323I Touring,0.79,0.57,0.85,0.8,0.27,BMW_323ITouring
BMW,323Is,0.75,0.28,0.23,0.16,0.96,BMW_323Is
BMW,328Ci,0.09,0.33,0.71,0.79,0.35,BMW_328Ci
BMW,328Ci Convertible,0.74,0.12,0.01,0.4,0.31,BMW_328CiConvertible
BMW,328Ci Xdrive,0.99,0.33,0.95,0.4699999999999999,0.58,BMW_328CiXdrive
BMW,328Cxi,0.3499999999999999,0.8000000000000002,0.91,0.28,0.12,BMW_328Cxi
BMW,328D,0.43,0.68,0.87,0.05,0.57,BMW_328D
BMW,328D Xdrive,0.26,0.88,0.08,0.92,0.37,BMW_328DXdrive
BMW,328D Xdrive Sports Wagon,0.81,0.71,0.43,0.25,0.42,BMW_328DXdriveSportsWagon
BMW,328I,0.06,0.14,0.94,0.28,0.49,BMW_328I
BMW,328I Convertible,0.68,0.12,0.01,0.23,0.07,BMW_328IConvertible
BMW,328I Coupe,0.0,0.44,0.7600000000000001,0.17,0.68,BMW_328ICoupe
BMW,328I Coupe Xdrive,0.97,0.63,0.27,0.97,0.44,BMW_328ICoupeXdrive
BMW,328I Sport Wagon,0.02,0.75,0.12,0.7,0.33,BMW_328ISportWagon
BMW,328I Sport Wagon Xdrive,0.73,0.89,0.72,0.43,0.97,BMW_328ISportWagonXdrive
BMW,328I Sports Wagon,0.94,0.42,0.59,0.46,0.5,BMW_328ISportsWagon
BMW,328I Xdrive,0.27,0.6900000000000001,0.46,0.25,0.98,BMW_328IXdrive
BMW,328I Xdrive Gran Turismo,0.25,0.98,0.45,0.96,0.83,BMW_328IXdriveGranTurismo
BMW,328I Xdrive Sport Wagon,0.31,0.35,0.0,0.77,0.08,BMW_328IXdriveSportWagon
BMW,328I Xdrive Sports Wagon,0.83,0.37,0.06,0.27,0.27,BMW_328IXdriveSportsWagon
BMW,328I/328Is,0.77,0.2,0.49,0.08,0.44,BMW_328I/328Is
BMW,328Ic,0.58,0.79,0.19,0.4,0.94,BMW_328Ic
BMW,328Is,0.8,0.13,0.35,0.81,0.12,BMW_328Is
BMW,328Xi,0.94,0.23,0.41,0.81,0.6,BMW_328Xi
BMW,328Xi Sport Wagon,0.3,0.65,0.27,0.41,0.36,BMW_328XiSportWagon
BMW,335Ci,0.3,0.41,0.72,0.44,0.85,BMW_335Ci
BMW,335Ci Convertible,0.87,0.01,0.26,0.94,0.88,BMW_335CiConvertible
BMW,335Ci Xdrive,0.58,0.79,0.63,0.51,0.59,BMW_335CiXdrive
BMW,335Cxi,0.71,0.74,0.68,0.6,0.58,BMW_335Cxi
BMW,335D,0.82,0.87,0.92,0.55,0.86,BMW_335D
BMW,335I,0.57,0.28,0.93,0.85,0.51,BMW_335I
BMW,335I Convertible,0.32,0.08,0.67,0.21,0.1,BMW_335IConvertible
BMW,335I Coupe,0.68,0.0,0.8000000000000002,0.86,0.99,BMW_335ICoupe
BMW,335I Coupe Xdrive,0.22,0.73,0.03,0.51,0.83,BMW_335ICoupeXdrive
BMW,335I Xdrive,0.7,0.36,0.21,0.62,0.8999999999999999,BMW_335IXdrive
BMW,335I Xdrive Gran Turismo,0.18,0.83,0.37,0.99,0.38,BMW_335IXdriveGranTurismo
BMW,335Is Convertible,0.66,0.73,0.45,0.26,0.44,BMW_335IsConvertible
BMW,335Is Coupe,0.03,0.59,0.7200000000000001,0.59,0.69,BMW_335IsCoupe
BMW,335Xi,0.71,0.19,0.18,0.89,0.85,BMW_335Xi
BMW,340I,0.17,0.26,0.64,0.37,0.46,BMW_340I
BMW,340I Xdrive,0.13,0.0,0.65,0.88,0.29,BMW_340IXdrive
BMW,340I Xdrive Gran Turismo,0.15,0.21,0.36,0.36,0.45,BMW_340IXdriveGranTurismo
BMW,428I Convertible,0.27,0.59,0.11,0.21,0.71,BMW_428IConvertible
BMW,428I Coupe,0.62,0.27,0.16,0.32,0.11,BMW_428ICoupe
BMW,428I Gran Coupe,0.09,0.0,0.18,0.57,0.33,BMW_428IGranCoupe
BMW,428I Xdrive Convertible,0.66,0.78,0.52,0.85,0.89,BMW_428IXdriveConvertible
BMW,428I Xdrive Coupe,0.39,0.77,0.99,0.71,0.24,BMW_428IXdriveCoupe
BMW,428I Xdrive Gran Coupe,0.05,0.19,0.19,0.64,0.22,BMW_428IXdriveGranCoupe
BMW,430I Convertible,0.91,0.97,0.07,0.68,0.56,BMW_430IConvertible
BMW,430I Coupe,0.79,0.6999999999999998,0.7200000000000001,0.88,0.7399999999999999,BMW_430ICoupe
BMW,430I Gran Coupe,0.83,0.58,0.24,0.87,0.8000000000000002,BMW_430IGranCoupe
BMW,430I Xdrive Convertible,0.82,0.33,0.08,0.58,0.4000000000000001,BMW_430IXdriveConvertible
BMW,430I Xdrive Coupe,0.85,0.32,0.16,0.85,0.53,BMW_430IXdriveCoupe
BMW,430I Xdrive Gran Coupe,0.38,0.93,0.19,0.52,0.07,BMW_430IXdriveGranCoupe
BMW,435I Convertible,0.47,0.16,0.93,0.33,0.58,BMW_435IConvertible
BMW,435I Coupe,0.59,0.99,0.49,0.03,0.37,BMW_435ICoupe
BMW,435I Gran Coupe,0.93,0.83,0.34,0.43,0.27,BMW_435IGranCoupe
BMW,435I Xdrive Convertible,0.58,0.29,0.56,0.36,0.05,BMW_435IXdriveConvertible
BMW,435I Xdrive Coupe,0.7,0.58,0.97,0.35,0.72,BMW_435IXdriveCoupe
BMW,435I Xdrive Gran Coupe,0.58,0.51,0.44,1.0,0.97,BMW_435IXdriveGranCoupe
BMW,440I Convertible,0.54,0.46,0.24,0.67,0.17,BMW_440IConvertible
BMW,440I Coupe,0.03,0.41,0.28,0.8800000000000001,0.19,BMW_440ICoupe
BMW,440I Gran Coupe,0.77,0.87,0.86,0.53,0.76,BMW_440IGranCoupe
BMW,440I Xdrive Convertible,0.57,0.27,0.09,0.92,0.67,BMW_440IXdriveConvertible
BMW,440I Xdrive Coupe,0.19,0.19,0.24,0.8100000000000002,0.26,BMW_440IXdriveCoupe
BMW,440I Xdrive Gran Coupe,0.88,0.71,0.43,0.63,0.87,BMW_440IXdriveGranCoupe
BMW,5 Series,0.5353880718954248,0.4560857843137255,0.5402254901960785,0.4427696078431372,0.298751633986928,BMW_5Series
BMW,528I,0.91,0.99,0.13,0.1,0.27,BMW_528I
BMW,528I Sport Wagon,0.7799999999999999,0.92,0.54,0.87,0.04,BMW_528ISportWagon
BMW,528I Touring,0.27,0.69,0.49,0.13,0.45,BMW_528ITouring
BMW,528I Xdrive,0.72,0.3,0.22,0.94,0.1,BMW_528IXdrive
BMW,528Xi,0.87,0.97,0.58,0.38,0.92,BMW_528Xi
BMW,535D,0.87,0.5,0.32,0.75,0.96,BMW_535D
BMW,535D Xdrive,0.24,0.69,0.72,0.97,0.93,BMW_535DXdrive
BMW,535I,0.13,0.63,0.56,0.23,0.7200000000000001,BMW_535I
BMW,535I Gran Turismo,0.97,0.33,0.82,0.23,0.64,BMW_535IGranTurismo
BMW,535I Sport Wagon Xdrive,0.86,0.19,0.95,0.16,0.02,BMW_535ISportWagonXdrive
BMW,535I Xdrive,0.41,0.06,0.26,0.9,0.5,BMW_535IXdrive
BMW,535I Xdrive Gran Turismo,0.16,0.2,0.57,0.21,0.35,BMW_535IXdriveGranTurismo
BMW,535Xi,0.08,0.47,0.42,0.24,0.5,BMW_535Xi
BMW,535Xi Sport Wagon,0.64,0.46,0.04,0.77,0.45,BMW_535XiSportWagon
BMW,540D Xdrive,0.67,0.92,0.82,0.73,0.28,BMW_540DXdrive
BMW,540I,0.93,0.8,0.03,0.42,0.32,BMW_540I
BMW,540I Sedan,0.2,0.78,0.42,0.4,0.43,BMW_540ISedan
BMW,540I Sport Wagon,0.03,0.91,0.21,0.42,0.64,BMW_540ISportWagon
BMW,540I Touring,0.14,0.89,0.79,0.45,0.57,BMW_540ITouring
BMW,540I Xdrive,0.64,0.0,0.2,0.72,0.48,BMW_540IXdrive
BMW,540I Xdrive Sedan,0.66,0.11,0.2,0.83,0.52,BMW_540IXdriveSedan
BMW,545I,0.96,0.19,0.75,0.58,0.38,BMW_545I
BMW,550 Gt,0.43,0.17,0.99,0.39,0.61,BMW_550Gt
BMW,550I,0.56,0.46,0.95,0.06,0.03,BMW_550I
BMW,550I Gran Turismo,0.37,0.14,0.63,0.35,0.97,BMW_550IGranTurismo
BMW,550I Xdrive,0.92,0.43,0.1,0.04,0.81,BMW_550IXdrive
BMW,550I Xdrive Gran Turismo,0.78,0.27,0.03,0.4,0.59,BMW_550IXdriveGranTurismo
BMW,550I Xdrive Gt,0.27,0.85,0.69,0.6,0.61,BMW_550IXdriveGt
BMW,6 Series,0.03,0.75,0.36,0.75,0.59,BMW_6Series
BMW,635Csi,0.44,0.14,0.08,0.2,0.86,BMW_635Csi
BMW,640I Convertible,0.62,0.03,0.17,0.09,0.61,BMW_640IConvertible
BMW,640I Coupe,0.22,0.45,0.43,0.88,0.7799999999999999,BMW_640ICoupe
BMW,640I Gran Coupe,0.9,0.15,0.47,0.16,0.49,BMW_640IGranCoupe
BMW,640I Xdrive Convertible,0.93,0.11,0.77,0.44,0.2,BMW_640IXdriveConvertible
BMW,640I Xdrive Coupe,0.28,0.34,0.52,0.9,0.99,BMW_640IXdriveCoupe
BMW,640I Xdrive Gran Coupe,0.72,0.31,0.65,0.2,0.22,BMW_640IXdriveGranCoupe
BMW,640I Xdrive Gran Turismo,0.14,0.07,0.54,0.8,0.47,BMW_640IXdriveGranTurismo
BMW,645Ci,0.07,0.61,0.98,0.27,0.25,BMW_645Ci
BMW,645Ci Convertible,0.2,0.56,0.36,0.34,0.48,BMW_645CiConvertible
BMW,650Ci,0.99,0.53,0.63,0.13,0.37,BMW_650Ci
BMW,650Ci Convertible,0.29,0.13,0.49,0.31,0.33,BMW_650CiConvertible
BMW,650I Convertible,0.97,0.96,0.71,0.91,0.77,BMW_650IConvertible
BMW,650I Convertible Xdrive,0.34,0.64,0.43,0.26,0.23,BMW_650IConvertibleXdrive
BMW,650I Coupe,0.85,0.6,0.62,0.71,0.2,BMW_650ICoupe
BMW,650I Coupe Xdrive,0.57,0.39,0.97,0.95,0.8,BMW_650ICoupeXdrive
